run,split,accuracy,precision_macro,recall_macro,f1_macro
exp1_baseline,cifar,0.7859,0.7983972481800395,0.7859,0.7837092640370106
exp1_baseline,own,0.7111517367458866,0.7308780746545082,0.7444474814787494,0.7280041650981999
exp3_with_own,cifar,0.8043,0.8100153924963678,0.8042999999999999,0.8017352129035504
exp3_with_own,own,0.7440585009140768,0.7599578896468526,0.7648565058615194,0.7573329639389912
exp5_transfer,cifar,0.8451,0.845919123996927,0.8451000000000001,0.843765586820038
exp5_transfer,own,0.7879341864716636,0.7979875105892323,0.7987570652012459,0.7931386031765555
