epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6385555267333984,0.0010000000474974513,1.1912636756896973,0.7824000120162964,0.7448798418045044
1,0.6949999928474426,0.0010000000474974513,0.9535310864448547,0.8116000294685364,0.5944669246673584
2,0.7074221968650818,0.0010000000474974513,0.9015682339668274,0.8155999779701233,0.5896282196044922
3,0.7090666890144348,0.0010000000474974513,0.9016706347465515,0.817799985408783,0.5589801669120789
4,0.7104222178459167,0.0010000000474974513,0.908576488494873,0.8095999956130981,0.6249566674232483
5,0.7085777521133423,0.0010000000474974513,0.9022808074951172,0.8101999759674072,0.5932420492172241
6,0.7084000110626221,0.0010000000474974513,0.9101725816726685,0.8217999935150146,0.5637896656990051
7,0.7092000246047974,0.0010000000474974513,0.9042834043502808,0.8095999956130981,0.6193908452987671
8,0.7248222231864929,0.0005000000237487257,0.834236204624176,0.826200008392334,0.5288345813751221
9,0.7287111282348633,0.0005000000237487257,0.8096863627433777,0.8295999765396118,0.4990449845790863
10,0.7315999865531921,0.0005000000237487257,0.7929362654685974,0.8238000273704529,0.5275201201438904
11,0.7292444705963135,0.0005000000237487257,0.7957131862640381,0.8366000056266785,0.49626830220222473
12,0.7290889024734497,0.0005000000237487257,0.7930206656455994,0.8259999752044678,0.5156996846199036
13,0.7337555289268494,0.0005000000237487257,0.7797178626060486,0.8428000211715698,0.4640319347381592
14,0.7345777750015259,0.0005000000237487257,0.7831429839134216,0.8277999758720398,0.5035725831985474
15,0.7331777811050415,0.0005000000237487257,0.7837830781936646,0.8324000239372253,0.4964293837547302
16,0.728755533695221,0.0005000000237487257,0.7873104810714722,0.8370000123977661,0.4813288152217865
17,0.7308666706085205,0.0005000000237487257,0.7906631231307983,0.8306000232696533,0.49415746331214905
18,0.7417111396789551,0.0002500000118743628,0.7518616914749146,0.847000002861023,0.43393152952194214
19,0.7386000156402588,0.0002500000118743628,0.7489262223243713,0.8429999947547913,0.44446641206741333
20,0.7429555654525757,0.0002500000118743628,0.7427238821983337,0.8479999899864197,0.4359772503376007
21,0.7437999844551086,0.0002500000118743628,0.7338568568229675,0.8417999744415283,0.4470442235469818
22,0.7449777722358704,0.0002500000118743628,0.7378963828086853,0.8429999947547913,0.43925419449806213
23,0.7495555281639099,0.0001250000059371814,0.7222010493278503,0.8507999777793884,0.42505496740341187
24,0.7481111288070679,0.0001250000059371814,0.7215204834938049,0.8525999784469604,0.4226953089237213
25,0.7516888976097107,0.0001250000059371814,0.7110293507575989,0.8514000177383423,0.41462060809135437
26,0.7510444521903992,0.0001250000059371814,0.7157765030860901,0.8518000245094299,0.41713687777519226
27,0.7491111159324646,0.0001250000059371814,0.7174952030181885,0.850600004196167,0.42249858379364014
28,0.7490666508674622,0.0001250000059371814,0.7155356407165527,0.8515999913215637,0.4211479425430298
29,0.7555999755859375,0.0001250000059371814,0.7053143382072449,0.8521999716758728,0.42194101214408875
30,0.7510889172554016,6.25000029685907e-05,0.708237886428833,0.8547999858856201,0.415828675031662
31,0.7545555830001831,6.25000029685907e-05,0.6994450092315674,0.8550000190734863,0.41434434056282043
32,0.7545777559280396,6.25000029685907e-05,0.7030344009399414,0.8525999784469604,0.4182440936565399
33,0.7548888921737671,6.25000029685907e-05,0.6968522071838379,0.8507999777793884,0.4188424348831177
34,0.7536222338676453,6.25000029685907e-05,0.7016226053237915,0.8492000102996826,0.4233264625072479
35,0.7548444271087646,6.25000029685907e-05,0.7036062479019165,0.8528000116348267,0.4200844168663025
36,0.7561333179473877,3.125000148429535e-05,0.6932714581489563,0.8525999784469604,0.4180576801300049
37,0.7586666941642761,3.125000148429535e-05,0.6944440603256226,0.850600004196167,0.41585811972618103
38,0.7595333456993103,3.125000148429535e-05,0.6908735036849976,0.8500000238418579,0.4216732978820801
39,0.7574666738510132,3.125000148429535e-05,0.6929463744163513,0.8500000238418579,0.4218064844608307
