trial,learning_rate,dropout,best_val_accuracy,final_train_accuracy,final_val_accuracy
1,0.001,0.3,0.7138000130653381,0.7185333371162415,0.7138000130653381
2,0.001,0.5,0.678600013256073,0.6826666593551636,0.678600013256073
3,0.0005,0.3,0.6373999714851379,0.7016000151634216,0.6373999714851379
4,0.0005,0.5,0.6100000143051147,0.6687999963760376,0.6100000143051147
