epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4010765850543976,0.0010000000474974513,1.6352559328079224,0.4560000002384186,1.6656301021575928
1,0.5287460088729858,0.0010000000474974513,1.318379282951355,0.5203999876976013,1.3742097616195679
2,0.5840539932250977,0.0010000000474974513,1.1862614154815674,0.6132000088691711,1.1141430139541626
3,0.6168813705444336,0.0010000000474974513,1.0987756252288818,0.6179999709129333,1.109828233718872
4,0.6412813067436218,0.0010000000474974513,1.0346494913101196,0.6313999891281128,1.0773931741714478
5,0.6617322564125061,0.0010000000474974513,0.9822295308113098,0.6588000059127808,0.9558439254760742
6,0.6738439798355103,0.0010000000474974513,0.9434759616851807,0.698199987411499,0.8622077107429504
7,0.6877647638320923,0.0010000000474974513,0.914391279220581,0.6362000107765198,1.119950532913208
8,0.694559633731842,0.0010000000474974513,0.8878716230392456,0.6614000201225281,1.0205930471420288
9,0.7050829529762268,0.0010000000474974513,0.8627877831459045,0.6606000065803528,1.0520292520523071
10,0.7132677435874939,0.0010000000474974513,0.8402389883995056,0.7184000015258789,0.8058543801307678
11,0.717680037021637,0.0010000000474974513,0.824968159198761,0.7080000042915344,0.8548868894577026
12,0.7231733202934265,0.0010000000474974513,0.8068730235099792,0.7088000178337097,0.904426097869873
13,0.7302550077438354,0.0010000000474974513,0.7932628989219666,0.7160000205039978,0.8684185743331909
14,0.7324832081794739,0.0010000000474974513,0.7836997509002686,0.7441999912261963,0.7602642774581909
15,0.7355718612670898,0.0010000000474974513,0.7731344103813171,0.6944000124931335,0.886143147945404
16,0.7412416338920593,0.0010000000474974513,0.7625526785850525,0.7250000238418579,0.8103920817375183
17,0.7451243996620178,0.0010000000474974513,0.7489392161369324,0.7458000183105469,0.7590727806091309
18,0.7481688857078552,0.0010000000474974513,0.742910623550415,0.7702000141143799,0.6790735125541687
19,0.7497794032096863,0.0010000000474974513,0.7339418530464172,0.7027999758720398,0.8885304927825928
20,0.7520737648010254,0.0010000000474974513,0.7254276275634766,0.7422000169754028,0.7692151665687561
21,0.7549417614936829,0.0010000000474974513,0.7164415717124939,0.7354000210762024,0.7842334508895874
22,0.7582730054855347,0.0010000000474974513,0.7099422216415405,0.7239999771118164,0.8270238041877747
23,0.7704730033874512,0.0005000000237487257,0.6726150512695312,0.7911999821662903,0.5944107174873352
24,0.7732086181640625,0.0005000000237487257,0.6647257804870605,0.7692000269889832,0.6747754216194153
25,0.7779738903045654,0.0005000000237487257,0.6525117754936218,0.7824000120162964,0.6492432355880737
26,0.7800256013870239,0.0005000000237487257,0.6476790904998779,0.7739999890327454,0.6744508743286133
27,0.7785033583641052,0.0005000000237487257,0.6498368978500366,0.7922000288963318,0.6072106957435608
28,0.7861366271972656,0.0002500000118743628,0.6247875094413757,0.800000011920929,0.5780085325241089
29,0.7872176170349121,0.0002500000118743628,0.6216647028923035,0.798799991607666,0.5847814083099365
30,0.7899091243743896,0.0002500000118743628,0.6205319762229919,0.800599992275238,0.5674147605895996
31,0.7916519641876221,0.0002500000118743628,0.6132223010063171,0.796999990940094,0.6166685223579407
32,0.7925123572349548,0.0002500000118743628,0.6071779131889343,0.801800012588501,0.5727207660675049
33,0.7917622923851013,0.0002500000118743628,0.6079718470573425,0.796999990940094,0.6032091975212097
34,0.7916078567504883,0.0002500000118743628,0.6050543189048767,0.8112000226974487,0.5558334589004517
35,0.7957553863525391,0.0002500000118743628,0.6005919575691223,0.800599992275238,0.5750942230224609
36,0.7948508858680725,0.0002500000118743628,0.5972336530685425,0.8091999888420105,0.5528343915939331
37,0.7941228151321411,0.0002500000118743628,0.5985942482948303,0.7950000166893005,0.5984570980072021
38,0.7978070974349976,0.0002500000118743628,0.5933794379234314,0.8105999827384949,0.5549299716949463
39,0.7958215475082397,0.0002500000118743628,0.5929866433143616,0.8023999929428101,0.5798786878585815
40,0.7948508858680725,0.0002500000118743628,0.5983209013938904,0.8100000023841858,0.566230297088623
41,0.8029694557189941,0.0001250000059371814,0.5780496597290039,0.801800012588501,0.5949109196662903
42,0.8023076057434082,0.0001250000059371814,0.5776706337928772,0.7991999983787537,0.5783069729804993
